"Bank","Code","Country","Tag","Currency"
"Imperial Bank Limited","39","Kenya","imperialbank","KES"
"African Banking Corp. Bank Ltd","35","Kenya","africanbank","KES"
"Co-operative Bank of Kenya Limited","11","Kenya","cooperativebank","KES"
"Prime Bank Limited","10","Kenya","primebank","KES"
"Central Bank of Kenya","09","Kenya","centeralbankkenya","KES"
"Habib Bank Limited","08","Kenya","habibkenya","KES"
"Commercial Bank of Africa Limited","07","Kenya","bankafricakenya","KES"
"Bank of Baroda (Kenya Limited)","06","Kenya","barodabank","KES"
"Bank of India","05","Kenya","bankofindia","KES"
"Barclays Bank of Kenya Limited","03","Kenya","barclaysbank","KES"
"Standard Chartered Bank Kenya Limited","02","Kenya","standardbankkenya","KES"
"Kenya Commercial Bank Limited","01","Kenya","kenyabank","KES"
"National Bank of Kenya Limited","12","Kenya","nationalbankkenya","KES"
"Oriental Commercial Bank Limited","14","Kenya","orientalbank","KES"
"Chase Bank Limited","30","Kenya","chase","KES"
"CFC Stanbic Bank Kenya Limited","31","Kenya","cfcbank","KES"
"Trans-National Bank Limited","26","Kenya","transnational","KES"
"Credit Bank Limited","25","Kenya","creditbank","KES"
"Consolidated Bank of Kenya Limited","23","Kenya","bankofkenya","KES"
"Dubai Bank Kenya Limited","20","Kenya","dubaibank","KES"
"Bank of Africa Kenya Limited","19","Kenya","bankafrica","KES"
"Middle East Bank Kenya Limited","18","Kenya","middleeastbank","KES"
"Habib Bank A.G. Zurich","17","Kenya","habibbank","KES"
"Citibank N.A.","16","Kenya","citibank","KES"
"ROYAL BANK","GH300100","Ghana","royalbank","GHS"
"STANBIC BANK","GH190100","Ghana","stanbicghana","GHS"
"STANDARD CHARTERED BANK","GH020100","Ghana","standardbank","GHS"
"UNITED BANK FOR AFRICA","GH060100","Ghana","ubaghana","GHS"
"UNIVERSAL MERCHANT BANK","GH100100","Ghana","universalbank","GHS"
"ZENITH BANK","GH120100","Ghana","zenithghana","GHS"
"NATIONAL INVESTMENT BANK","GH050100","Ghana","nationalbank","GHS"
"HFC BANK","GH110100","Ghana","hfcbank","GHS"
"GUARANTY TRUST BANK","GH230100","Ghana","gtbghana","GHS"
"FIRST NATIONAL BANK","GH330100","Ghana","firstnational","GHS"
"ENERGY BANK","GH290100","Ghana","energybank","GHS"
"ECOBANK","GH130100","Ghana","ecoghana","GHS"
"CAL BANK","GH140100","Ghana","calbank","GHS"
"ACCESS BANK GH LTD","GH280100","Ghana","accessghana","GHS"
"GCB BANK LTD","GH040100","Ghana","gcbghana","GHS"
"First National Bank","FNB","South Africa","firstnationalsa","ZAR"
"Nedbank Limited","NedBank","South Africa","nedbank","ZAR"
"CENTENARY RURAL DEVELOPMENT","UG16000","Uganda","centeralbankuganda","UGX"
"DFCU Bank","UG05000","Uganda","dfcubank","UGX"
"BARCLAYS BANK OF UGANDA  LIMITED","UG01000","Uganda","barclaysbankuganda","UGX"
"I&M Bank Uganda Limited","UG11000","UG","i&mbank","UGX"
"NC BANK UGANDA LIMITED","UG35000","Uganda","ncbankuganda","UGX"
"DIAMOND TRUST BANK","UG19000","Uganda","diamondtrust","UGX"
"ECOBANK (U) LTD","UG029000","Uganda","ecouganda","UGX"
"TROPICAL BANK OF AFRICA","UG06000","Uganda","tropicalbank","UGX"
"BANK OF BARODA","UG02000","Uganda","barodabankuganda","UGX"
"UNITED BANK FOR AFRICA UG LTD","UG26000","Uganda","ubauganda","UGX"
"CITIBANK N.A.","UG22000","Uganda","citibankuganda","UGX"
"EXIM BANK","UG32000","Uganda","eximbank","UGX"
"HOUSING FINANCE BANK","UG23000","Uganda","housingbankuganda","UGX"
"BANK OF AFRICA","UG13000","Uganda","bankafricauganda","UGX"
"FINANCE TRUST BANK","UG37000","Uganda","financetrust","UGX"
"COMMERCIAL BANK OF AFRICA UGANDA LIMITED","UG36000","Uganda","commercialbank","UGX"
"KCB BANK UGANDA LTD","UG25000","Uganda","kcbbank","UGX"
"STANBIC BANK LIMITED","UG04000","Uganda","stanbicuganda","UGX"
"ABC CAPITAL BANK LIMITED","UG031000","Uganda","abccapital","UGX"
"EQUITY BANK","UG30000","Uganda","equityuganda","UGX"
"STANDARD CHARTERED BANK","UG08000","Uganda","standardcharteredug","UGX"
"CAIRO INTERNATIONAL BANK","UG18000","Uganda","cairobank","UGX"
"Mobile Money","MPS","Uganda","mobilemoneyug","UGX"
"AB Bank Zambia Limited","ZM210000","Zambia","abbankzambia","ZMW"
"AccSouth Sudan Bank","ZM350000","Zambia","accsouth","ZMW"
"Banc ABC","ZM200000","Zambia","bancabc","ZMW"
"Bank of China","ZM190000","Zambia","bankofchinazambia","ZMW"
"Bank Of Zambia Lusaka","ZM000000","Zambia","bankofzambia","ZMW"
"Barclays Bank","ZM020000","Zambia","barclaysbankzambia","ZMW"
"Cavmont Bank","ZM130000","Zambia","cavmontbank","ZMW"
"Citibank","ZM030000","Zambia","citibankzambia","ZMW"
"Ecobank","ZM360000","Zambia","ecobankzambia","ZMW"
"FinanceBank","ZM110000","Zambia","financebankzambia","ZMW"
"First Alliance Bank","ZM340000","Zambia","firstalliance","ZMW"
"First Capital Bank","ZM280000","Zambia","firstcapital","ZMW"
"First National Bank","ZM260000","Zambia","firstnationalzambia","ZMW"
"Indo Zambia Bank","ZM090000","Zambia","indobank","ZMW"
"Intermarket Banking Corporation","ZM150000","Zambia","intermarket","ZMW"
"Investrust","ZM170000","Zambia","investrust","ZMW"
"Stanbic Bank","ZM040000","Zambia","stanbiczambia","ZMW"
"Standard Chartered Bank","ZM060000","Zambia","standardcharteredzambia","ZMW"
"United Bank of Africa","ZM180000","Zambia","ubazambia","ZMW"
"Zambia National Commercial Bank","ZM010000","Zambia","zambianationalbank","ZMW"
"AccSouth Sudan Bank - Côte dIvoire","CI106","Ivory Coast","accsouthci","XOF"
"BACI - Banque Atlantique Côte dIvoire","CI034","Ivory Coast","bacibank","XOF"
"BOA - Bank Of Africa - Côte dIvoire","CI032","Ivory Coast","bankofafricaci","XOF"
"BANQUE DE L UNION","CI180","Ivory Coast","banqueunion","XOF"
"BANQUE DU TRESOR COTE DIVOIRE","CI650","Ivory Coast","banquetresor","XOF"
"Banque Internat pour le Com et lInd de","CI148100","Ivory Coast","banqueinternat","XOF"
"BANQUE MALIENNE DE SOLIDARITE","CI188","Ivory Coast","banquemalienne","XOF"
"BFA - Banque Financement Agriculture","CI114","Ivory Coast","bfabanque","XOF"
"BGFI Cote dIvoire","CI162","Ivory Coast","bgfibank","XOF"
"BHCI - Banque Habitat de C™te dIvoire","CI068","Ivory Coast","bhcibanque","XOF"
"BIAO - COTE DIVOIRE","CI042","Ivory Coast","biaobanque","XOF"
"BICICI","CI006","Ivory Coast","bicici","XOF"
"BNI - Banque Nationale dInvestissement","CI092","Ivory Coast","bnibanque","XOF"
"Bridge Bank Group - C™te dIvoire","CI131","Ivory Coast","bridgebank","XOF"
"BSIC  - Côte dIvoire","CI154","Ivory Coast","bsicbank","XOF"
"Citi Bank - Côte dIvoire","CI118","Ivory Coast","citibankci","XOF"
"CNCE - Caisse Nat des Caisses Epargne","CI155","Ivory Coast","cncecaisse","XOF"
"COFIPA Investment Bank","CI071","Ivory Coast","cofipabank","XOF"
"CORIS BANK COTE D IVOIRE","CI166","Ivory Coast","corisbank","XOF"
"GT Bank Cote d Ivoire","CI163","Ivory Coast","gtbankci","XOF"
"ORABANK","CI121","Ivory Coast","orabank","XOF"
"SGBCI-Societe Generale de Banques","CI008","Ivory Coast","sgbcisociete","XOF"
"SIB - SociŽtŽ Ivoirienne de Banque","CI007","Ivory Coast","sibsociete","XOF"
"Standard Chartered Bank","CI097","Ivory Coast","standardcharteredci","XOF"
"UBA  United Bank for Africa CI","CI150","Ivory Coast","ubaci","XOF"
"Versus Bank","CI112","Ivory Coast","versusbank","XOF"
"BANK OF GHANA","GH010100","Ghana","bankghana","GHS"
"BARCLAYS BANK","GH030100","Ghana","barclaysbank","GHS"
"ARB APEX BANK LTD","GH070100","Ghana","arbbank","GHS"
"AGRICULTURAL DEVELOPMENT BANK","GH080100","Ghana","agriculturalbank","GHS"
"SG-SSB LTD","GH090100","Ghana","sgssbbank","GHS"
"THE TRUST BANK LTD","GH150100","Ghana","trustbank","GHS"
"UT BANK","GH160100","Ghana","utbank","GHS"
"FIRST ATLANTIC MERCHANT","GH170100","Ghana","firstatlantic","GHS"
"PRUDENTIAL BANK LTD","GH180100","Ghana","prudentialbank","GHS"
"FBN BANK GHANA","GH200100","Ghana","fbnbank","GHS"
"AMALGAMATED BANK LTD","GH210100","Ghana","amalgamatedbank","GHS"
"UNIBANK GHANA LTD","GH220100","Ghana","unibankghana","GHS"
"FIDELITY BANK","GH240100","Ghana","fidelitybank","GHS"
"INTERCONTINENTAL BANK LTD","GH250100","Ghana","internationalbank","GHS"
"BANK OF BARODA","GH260100","Ghana","bankbaroda","GHS"
"FIRST CAPITAL PLUS  BANK","GH310100","Ghana","firstcapital","GHS"
"GN BANK LTD","GH320100","Ghana","gnbank","GHS"
"SOVEREIGN BANK","GH340100","Ghana","sovereignbank","GHS"
"PREMIUM BANK","GH350100","Ghana","premiumbank","GHS"
"OMNIBANK GHANA LTD","GH360100","Ghana","omnibankghana","GHS"
"Airtel","AIRTEL","Ghana","airtel","GHS"
"Vodafone","VODAFONE","Ghana","vodafone","GHS"
"TIGO","TIGO","Ghana","tigo","GHS"
"MTN Mobile","MTN","Ghana","mtn","GHS"
"Absa Bank Kenya Plc","003","Kenya","absakenya","KES"
"Rubies Microfinance Bank","090175","Nigeria","rubiesbank","NGN"
"IBANK Microfinance Bank","090115","NG","ibankmicrofinance","NGN"
"Kuda","090267","Nigeria","kuda","NGN"
"Suntrust Bank","100","Nigeria","suntrustbank","NGN"
"FINATRUST MICROFINANCE BANK","608","Nigeria","finatrustbank","NGN"
"ProvidusBank PLC","101","Nigeria","providusbank","NGN"
"Bank of India","UG034000","Uganda","bankindia","UGX"
"FINCA UGANDA LIMITED 1","UG053000","Uganda","fincauganda","UGX"
"NATIONAL BANK OF COMMERCE","UG15000","Uganda","nationalbank","UGX"
"CRANE BANK","UG17000","Uganda","cranebank","UGX"
"GLOBAL TRUST BANK","UG24000","Uganda","globalbank","UGX"
"GUARANTEE TRUST BANK","UG27000","Uganda","gtbuganda","UGX"
"BANK OF UGANDA","UG47000","Uganda","bankuganda","UGX"
"FINCA UGANDA LIMITED","UG53000","Uganda","fincauganda","UGX"
"POST BANK UGANDA LIMITED","UG56000","Uganda","postbank","UGX"
"PRIDE MICROFINANCE LIMITED","UG57000","Uganda","pridemicrofinance","UGX"
"OPPORTUNITY BANK UGNADA LIMITED","UG61000","Uganda","opportunitybank","UGX"
"Top Finance Bank Limited","UG62000","Uganda","topbank","UGX"
"BANK OF UGANDA 1","UG99000","Uganda","bankugandaone","UGX"
"COMMERZBANK - EUR","UGCOBEUR","Uganda","commerzbankeur","UGX"
"COMMERZBANK - GBP","UGCOBGBP","Uganda","commerzbankgbp","UGX"
"COMMERZBANK - USD","UGCOBUSD","Uganda","commerzbankusd","UGX"
"NEDBANK","UGNEDZAR","Uganda","nedbank","UGX"
"Polaris bank","076","Nigeria","nedbank","NGN"
"Rand merchant Bank","502","Nigeria","randbank","NGN"
"Globus Bank","103","Nigeria","globusbank","NGN"
"Mobile Money","MPS","Rwanda","mps","RWF"
"National Bank of Rwanda","RW000000","Rwanda","nationalbankrw","RWF"
"I & M bank","RW010000","Rwanda","imbank","RWF"
"BanK of Kigali","RW040000","Rwanda","bankkigali","RWF"
"GT bank","RW070000","Rwanda","gtbankrw","RWF"
"Ecobank","RW100000","Rwanda","ecobankrw","RWF"
"Access Bank","RW115000","Rwanda","accessbankrw","RWF"
"Cogebank","RW130000","Rwanda","cogebank","RWF"
"Urwego Opportinuity Bank","RW145000","Rwanda","urwegobank","RWF"
"Kenya Commercial Bank","RW160000","Rwanda","kenyacommerical","RWF"
"Equity Bank","RW192000","Rwanda","equitybankrw","RWF"
"Agaseke Bank","RW208000","Rwanda","agesekebank","RWF"
"Unguka Bank","RW224000","Rwanda","ungukabank","RWF"
"Banque Populaire du Rwanda","RW400000","Rwanda","banquepopulaire","RWF"
"Banque de Developpement du Rwanda","RW750000","Rwanda","banquedeveloppement","RWF"
"Zigama CSS Bank","RW800000","Rwanda","zigamabank","RWF"
"Standard Bank","Standard","South Africa","standardbanksa","ZAR"
"Capitec Bank","Capitec","South Africa","capitec","ZAR"
"Investec Bank","Investec","South Africa","investecbank","ZAR"
"ABSA","ABSA","South Africa","absa","ZAR"
"African Bank","AfricanBank","South Africa","africabank","ZAR"
"Old Mutual Money Account","OldMutualMoney","South Africa","oldmutual","ZAR"
"Bidvest Bank","Bidvest","South Africa","bidvest","ZAR"
"Discovery Bank","DiscoveryBank","South Africa","discovery","ZAR"
"ATTIJARI BANK TUNIS TN","BSTUTNTTXX","Ivory Coast","attijaribank","XOF"
"Banque Internationale pour lA de lO","CI092100","Ivory Coast","banqueinternationale","XOF"
"BCEAO COTE DIVOIRE","CI000","Ivory Coast","bceao","XOF"
"CO-OPERATtVE BANK LtM|TED","CPOB","Ivory Coast","cooperativebank","XOF"
"Diamond Bank Côte dIvoire","CI158","Ivory Coast","diamondbankci","XOF"
"Ecobank Cote DIvoire","CI059","Ivory Coast","ecobankci","XOF"
"FIRST RAND BANK South Africa","CIFIRSTZA","Ivory Coast","firstrandbank","XOF"
"NABIL BANK LIMITED","NARBNPKAXX","Ivory Coast","nabilbank","XOF"
"SOCIETE GNigerRAL DE MAURITANIE","MA001","Ivory Coast","societegnigerral","XOF"
"Mobile Money","FMM","Ivory Coast","fmm","XOF"
"Mobile Money","MPS","Zambia","mps","ZMW"
"Amole Mobile Money","ETBAMOLE","Ethiopia","amm","ETB"
"Zemen Bank","19","Ethiopia","zemenbank","ETB"
"Wegagaen Bank","18","Ethiopia","wegagaenbank","ETB"
"United Bank","17","Ethiopia","unitedbank","ETB"
"Oromia International Bank","16","Ethiopia","oromiabank","ETB"
"NIB International Bank","15","Ethiopia","nibbank","ETB"
"Lion International Bank","14","Ethiopia","lionbank","ETB"
"Enat Bank","13","Ethiopia","enatbank","ETB"
"Development Bank of Ethiopia","12","Ethiopia","developmentbank-ethiopia","ETB"
"Debub Global Bank","11","Ethiopia","debubglobal-bank","ETB"
"Dashen Bank","10","Ethiopia","dashenbank","ETB"
"Cooperative Bank of Oromia","9","Ethiopia","cooperativebank-oromia","ETB"
"Construction and Business Bank","8","Ethiopia","construction-businessbank","ETB"
"Commercial Bank of Ethiopia","7","Ethiopia","commercialbank-ethiopia","ETB"
"Bunna International Bank","6","Ethiopia","bunnabank","ETB"
"Berhan International Bank","5","Ethiopia","berhanbank","ETB"
"Abyssinia Bank","4","Ethiopia","abyssiniabank","ETB"
"Awash International Bank","3","Ethiopia","awashbank","ETB"
"Addis International Bank","2","Ethiopia","addisbank","ETB"
"Abay Bank S.C.","1","Ethiopia","abaybank","ETB"
"FINCA MICROFINANCE BANK LIMITED","11295332","Tanzania","fincamicrofinance","TZS"
"CRDB BANK LTD","20638300","Tanzania","crdbbank","TZS"
"PEOPLES BANK OF ZANZIBAR LTD","20638800","Tanzania","peoplesbank","TZS"
"STANDARD CHARTERED BANK (T) LTD","99354428","Tanzania","standardcharteredtz","TZS"
"STANBIC BANK (T) LTD","60000066","Tanzania","stanbictz","TZS"
"GT BANK (T) LTD","11321840","Tanzania","gtbanktz","TZS"
"CITIBANK (T) LTD","97723620","Tanzania","citibanktz","TZS"
"DIAMOND TRUST BANK (T) LTD","97723632","Tanzania","diamondtrusttz","TZS"
"AKIBA COMMERCIAL BANK (T) LTD","97906794","Tanzania","akibacomm","TZS"
"EXIM BANK TANZANIA LTD","98080262","Tanzania","eximbanktz","TZS"
"NBC (1997) LTD","20638400","Tanzania","nbc","TZS"
"NATIONAL MICROFINANCE BANK","97723612","Tanzania","nationalbank","TZS"
"HABIB AFRICAN BANK LTD","97723714","Tanzania","habibbanktz","TZS"
"INTERNATIONAL COMMERCIAL BANK (T) LTD","97723712","Tanzania","intercommercial","TZS"
"BARCLAYS BANK (T) LTD","97723718","Tanzania","barclaysbanktz","TZS"
"I & M BANK (T) LTD","98116446","Tanzania","iandmbank","TZS"
"COMMERCIAL BANK OF AFRICA (T) LTD","99055178","Tanzania","commercialbanktz","TZS"
"DAR ES SALAAM STOCK EXCHANGE","27187316","Tanzania","daressalamse","TZS"
"NIC BANK LTD","98116456","Tanzania","nicbanktz","TZS"
"BANK OF BARODA (T) LTD","25548988","Tanzania","barodabanktz","TZS"
"AZANIA BANK LTD","98116452","Tanzania","azaniabank","TZS"
"BANK M (TANZANIA) LTD","25702616","Tanzania","bankmtz","TZS"
"AFRICAN BANK CORP LTD","25522608","Tanzania","africanbanktz","TZS"
"ACCESS BANK (T) LTD","25716848","Tanzania","accessbanktz","TZS"
"BANK OF INDIA (T) LTD","25894404","Tanzania","bankofindiatz","TZS"
"UNITED BANK FOR AFRICA","26194946","Tanzania","ubatz","TZS"
"MKOMBOZI COMMERCIAL BANK LTD","26260012","Tanzania","mkombozi","TZS"
"FIRST NATIONAL BANK (T) LTD","26500306","Tanzania","fnbtz","TZS"
"AMANA BANK","26695702","Tanzania","amanabank","TZS"
"EQUITY BANK (T) LTD","26702352","Tanzania","equitytz","TZS"
"COVENANT BANK LTD","26965348","Tanzania","convenantbank","TZS"
"UBL","27121304","Tanzania","ublbank","TZS"
"MAENDELEO BANK","27121334","Tanzania","maendeleo","TZS"
"Ecobank Tanzania","TZ674000","Tanzania","ecobanktz","TZS"
"CANARA BANK (TANZANIA) LTD","11288188","Tanzania","canarabank","TZS"
"MWALIMU COMMERCIAL BANK PLC","11298200","Tanzania","mwalimucommercial","TZS"
"UCHUMI COMMERCIAL BANK LTD","99055174","Tanzania","uchumibank","TZS"
"KILIMANJARO CO-OPERATIVE BANK LTD","97723634","Tanzania","kilimanjaro","TZS"
"AMANA BANK","26695702","Tanzania","amanabank","TZS"
"BANK OF AFRICA (T) LTD","99229218","Tanzania","bankafricatz","TZS"
"TANZANIA WOMENS BANK LTD","26262682","Tanzania","tanzaniawomen","TZS"
"TWIGA BANCORP LTD","25562250","Tanzania","twigabancorp","TZS"
"TIB CORPORATE BANK LIMITED","11274858","Tanzania","tibcorporatetz","TZS"
"TANZANIA AGRICULTURAL DEVELOPMENT BANK","11288192","Tanzania","tzagricbank","TZS"
"YETU MICROFINANCE BANK PLC","11335200","Tanzania","yetumfb","TZS"
"TZWALLET","20021376IK","Tanzania","tzwallet","TZS"
"BANK OF TANZANIA","20638200","Tanzania","bankoftz","TZS"
"TIB DEVELOPMENT BANK LTD","20638700","Tanzania","tibdevtz","TZS"
"TPB BANK COMPANY LTD","22017470","Tanzania","tpbbanktz","TZS"
"CROWN FINANCE AND LEASING LIMITED","25522602","Tanzania","crownfintz","TZS"
"KARADHA COMPANY LTD","25522604","Tanzania","karadha","TZS"
"NATIONAL BUREAU DE CHANGE LIMITED","25522606","Tanzania","nationalbdctz","TZS"
"ORBIT SECURITES CO LTD","26187724","Tanzania","orbitsectz","TZS"
"TANZANIA REVENUE AUTHORITY","26545582","Tanzania","tzrevenue","TZS"
"TANZANIA HOUSING BANK","26618356","Tanzania","tzhousing","TZS"
"LETSHEGO BANK (T) LIMITED","26852058","Tanzania","letshegotz","TZS"
"SABMILLER TANZANIA","26955990","Tanzania","sabmillertz","TZS"
"MWANGA COMMUNITY BANK LTD","26965406","Tanzania","mwangatz","TZS"
"TRUST BANK (TANZANIA) LIMITED","27162738","Tanzania","trustbanktz","TZS"
"CHINA COMMERCIAL BANK LIMITED","27307960","Tanzania","chinacommercialtz","TZS"
"MUCOBA BANK PLC","27357708","Tanzania","mucobatz","TZS"
"FIRST HOUSING FINANCE TANZANIA LIMITED","27541834","Tanzania","firsthousingfin","TZS"
"KCB BANK TANZANIA LTD","97723710","Tanzania","kcbtz","TZS"
"DCB COMMERCIAL BANK PLC","98116448","Tanzania","dcbtz","TZS"
"Airtel Malawi","AIRTELMW","Malawi","airtelmalawi","MWK"
"PALMPAY","100033","Nigeria","palmpay","NGN"
"Paga","327","Nigeria","paga","NGN"
"Airtel Tanzania","airtel","TZ","airtel","TZS"
"EUMOBILE","EUMOBILE","CM","EUMOBILE","XAF"
"LAREGIONALE","LAREGIONALE","CM","LAREGIONALE","XAF"
"MTN","MTN","CM","MTN","XAF"
"UBC","UBC","CM","UBC","XAF"
"CCA","CCA","CM","CCA","XAF"
"ORANGE MONEY","ORANGEMONEY","CM","ORANGEMONEY","XAF"
"ORANGE","ORANGE","CM","ORANGE","XAF"
"MOOV","MOOV","CM","MOOV","XAF"
"TELECOM","TELECOM","CM","TELECOM","XAF"
"BGFI","BGFI","CM","BGFI","XAF"
"BICEC","BICEC","CM","BICEC","XAF"
"CBC","CBC","CM","CBC","XAF"
"YUP","YUP","CM","YUP","XAF"
"EUMOBILE","EUMOBILE","CG","EUMOBILE","XAF"
"LAREGIONALE","LAREGIONALE","CG","LAREGIONALE","XAF"
"MTN","MTN","CG","MTN","XAF"
"UBC","UBC","CG","UBC","XAF"
"CCA","CCA","CG","CCA","XAF"
"ORANGE MONEY","ORANGEMONEY","CG","ORANGEMONEY","XAF"
"ORANGE","ORANGE","CG","ORANGE","XAF"
"MOOV","MOOV","CG","MOOV","XAF"
"TELECOM","TELECOM","CG","TELECOM","XAF"
"BGFI","BGFI","CG","BGFI","XAF"
"BICEC","BICEC","CG","BICEC","XAF"
"CBC","CBC","CG","CBC","XAF"
"YUP","YUP","CG","YUP","XAF"
"EUMOBILE","EUMOBILE","CF","EUMOBILE","XAF"
"LAREGIONALE","LAREGIONALE","CF","LAREGIONALE","XAF"
"MTN","MTN","CF","MTN","XAF"
"UBC","UBC","CF","UBC","XAF"
"CCA","CCA","CF","CCA","XAF"
"ORANGE MONEY","ORANGEMONEY","CF","ORANGEMONEY","XAF"
"ORANGE","ORANGE","CF","ORANGE","XAF"
"MOOV","MOOV","CF","MOOV","XAF"
"TELECOM","TELECOM","CF","TELECOM","XAF"
"BGFI","BGFI","CF","BGFI","XAF"
"BICEC","BICEC","CF","BICEC","XAF"
"CBC","CBC","CF","CBC","XAF"
"YUP","YUP","CF","YUP","XAF"
"EUMOBILE","EUMOBILE","TD","EUMOBILE","XAF"
"LAREGIONALE","LAREGIONALE","TD","LAREGIONALE","XAF"
"MTN","MTN","TD","MTN","XAF"
"UBC","UBC","TD","UBC","XAF"
"CCA","CCA","TD","CCA","XAF"
"ORANGE MONEY","ORANGEMONEY","TD","ORANGEMONEY","XAF"
"ORANGE","ORANGE","TD","ORANGE","XAF"
"MOOV","MOOV","TD","MOOV","XAF"
"TELECOM","TELECOM","TD","TELECOM","XAF"
"BGFI","BGFI","TD","BGFI","XAF"
"BICEC","BICEC","TD","BICEC","XAF"
"CBC","CBC","TD","CBC","XAF"
"YUP","YUP","TD","YUP","XAF"
"EUMOBILE","EUMOBILE","GA","EUMOBILE","XAF"
"LAREGIONALE","LAREGIONALE","GA","LAREGIONALE","XAF"
"MTN","MTN","GA","MTN","XAF"
"UBC","UBC","GA","UBC","XAF"
"CCA","CCA","GA","CCA","XAF"
"ORANGE MONEY","ORANGEMONEY","GA","ORANGEMONEY","XAF"
"ORANGE","ORANGE","GA","ORANGE","XAF"
"MOOV","MOOV","GA","MOOV","XAF"
"TELECOM","TELECOM","GA","TELECOM","XAF"
"BGFI","BGFI","GA","BGFI","XAF"
"BICEC","BICEC","GA","BICEC","XAF"
"CBC","CBC","GA","CBC","XAF"
"YUP","YUP","GA","YUP","XAF"
"EUMOBILE","EUMOBILE","GQ","EUMOBILE","XAF"
"LAREGIONALE","LAREGIONALE","GQ","LAREGIONALE","XAF"
"MTN","MTN","GQ","MTN","XAF"
"UBC","UBC","GQ","UBC","XAF"
"CCA","CCA","GQ","CCA","XAF"
"ORANGE MONEY","ORANGEMONEY","GQ","ORANGEMONEY","XAF"
"ORANGE","ORANGE","GQ","ORANGE","XAF"
"MOOV","MOOV","GQ","MOOV","XAF"
"TELECOM","TELECOM","GQ","TELECOM","XAF"
"BGFI","BGFI","GQ","BGFI","XAF"
"BICEC","BICEC","GQ","BICEC","XAF"
"CBC","CBC","GQ","CBC","XAF"
"YUP","YUP","GQ","YUP","XAF"
"Airtel","AIRTEL","CG","AIRTEL","XAF"
"Airtel","AIRTEL","CF","AIRTEL","XAF"
"Airtel","AIRTEL","TD","AIRTEL","XAF"
"Airtel","AIRTEL","GA","AIRTEL","XAF"
"Airtel","AIRTEL","GQ","AIRTEL","XAF"
"Airtel","AIRTEL","CM","AIRTEL","XAF"
